review,rating,date,bank,source,sentiment_label,sentiment_score,processed_text,theme
"Good ,easy to use",5,2025-05-16,CBE,Google Play,POSITIVE,0.5666666666666667,good easy use,Other
Good app,5,2025-05-15,CBE,Google Play,POSITIVE,0.7,good app,UI/UX
Good job👍,5,2025-05-14,CBE,Google Play,POSITIVE,0.7,good,Other
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,POSITIVE,0.2749999999999999,please kindly ask update app allow u screenshot convenient efficient long add security access reason block u screenshooting screen,UI/UX
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,POSITIVE,0.4,using cbe mobile banking app overall appreciate feuteres however notticed turn developer option divice functioning prorerly great could look issue l often need access developer setting otter application thankyou attention matter,UI/UX
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,NEUTRAL,5.551115123125783e-17,customer service bad nothing good bank,Customer Support
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,POSITIVE,0.6000000000000001,amazing mobile banking app screenshot receipt doesnt work,UI/UX
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,POSITIVE,0.2111111111111111,fast simple easy use,Other
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,NEUTRAL,0.0,fastest transferring app ever reliable,UI/UX
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,NEUTRAL,0.0,fund transferred bank reflect account even though confirmation text message received,Login & Access
it's easy and fast,5,2025-05-10,CBE,Google Play,POSITIVE,0.3166666666666666,easy fast,Other
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,NEGATIVE,-0.3,app self activation look near cbe branch disgusting,UI/UX
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,POSITIVE,0.3,hello dearest cbe office personnel make benefit using interest free account thanks help,Login & Access
wow best application ever,5,2025-05-09,CBE,Google Play,POSITIVE,0.55,wow best application ever,Other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,NEGATIVE,-0.2666666666666666,sorry developer mode application hack sure developer stupid doesnt make sense,UI/UX
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,NEUTRAL,0.0,pride ethiopian bank,Other
