review,rating,date,bank,source,sentiment_label,sentiment_score
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,NEUTRAL,0.0
i like it,5,2025-04-18,CBE,Google Play,NEUTRAL,0.0
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,NEUTRAL,0.0
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,POSITIVE,0.6499999999999999
Thank you!!!,5,2025-04-18,CBE,Google Play,NEUTRAL,0.0
i can't take screenshot,1,2025-04-18,CBE,Google Play,NEUTRAL,0.0
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,POSITIVE,0.2847222222222222
perfectly special,5,2025-04-18,CBE,Google Play,POSITIVE,0.35714285714285715
Fast and Reliable,5,2025-04-18,CBE,Google Play,POSITIVE,0.2
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play,POSITIVE,1.0
great app!!!,5,2025-04-17,CBE,Google Play,POSITIVE,1.0
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play,POSITIVE,0.2
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,POSITIVE,0.7333333333333334
very nice app ever!!!,5,2025-04-16,CBE,Google Play,POSITIVE,1.0
the best app,5,2025-04-16,CBE,Google Play,POSITIVE,1.0
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,NEGATIVE,-0.2
great,5,2025-04-15,CBE,Google Play,POSITIVE,0.8
Nice service,5,2025-04-15,CBE,Google Play,POSITIVE,0.6
great app,5,2025-04-15,CBE,Google Play,POSITIVE,0.8
it's special apps,5,2025-04-15,CBE,Google Play,POSITIVE,0.35714285714285715
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,POSITIVE,0.5
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play,NEUTRAL,0.0
Good 🔥,5,2025-04-14,CBE,Google Play,POSITIVE,0.7
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,POSITIVE,0.525
lebaa bank,5,2025-04-14,CBE,Google Play,NEUTRAL,0.0
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,NEGATIVE,-0.125
OK,5,2025-04-13,CBE,Google Play,POSITIVE,0.5
grateful app,5,2025-04-13,CBE,Google Play,NEUTRAL,0.0
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE,Google Play,NEUTRAL,0.0
everthing wellbeok,3,2025-04-13,CBE,Google Play,NEUTRAL,0.0
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,CBE,Google Play,POSITIVE,0.1125
nice app 👌,5,2025-04-12,CBE,Google Play,POSITIVE,0.6
why did this app is not screenshot,5,2025-04-12,CBE,Google Play,NEUTRAL,0.0
it so good app,5,2025-04-12,CBE,Google Play,POSITIVE,0.7
جميل,5,2025-04-11,CBE,Google Play,NEUTRAL,0.0
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,NEUTRAL,0.09523809523809525
simply for used,4,2025-04-11,CBE,Google Play,NEUTRAL,0.0
wow keep up,5,2025-04-10,CBE,Google Play,NEUTRAL,0.1
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play,POSITIVE,0.8
good one,5,2025-04-10,CBE,Google Play,POSITIVE,0.7
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play,POSITIVE,0.43333333333333335
ፈጣን ቀልጣፋ,5,2025-04-10,CBE,Google Play,NEUTRAL,0.0
ጎበዝ,5,2025-04-09,CBE,Google Play,NEUTRAL,0.0
but this app says can't sync,5,2025-04-09,CBE,Google Play,NEUTRAL,0.0
waw,5,2025-04-09,CBE,Google Play,NEUTRAL,0.0
to slow,3,2025-04-09,CBE,Google Play,NEGATIVE,-0.30000000000000004
